Boss,Value
zakum-easy,196723
zakum-normal,602463
papulatus-easy,673283
magnus-easy,710169
hilla-normal,786891
horntail-easy,867547
vonbon-normal,952138
pierre-normal,952138
bloodyqueen-normal,952138
vellum-normal,952138
horntail-normal,995909
vonleon-easy,1040663
arkarium-easy,1133123
kawoong-normal,1229517
horntail-chaos,1329845
pinkbean-normal,1381485
vonleon-normal,1434108
vonleon-hard,2409853
arkarium-normal,2479198
magnus-normal,2549526
papulatus-normal,2620838
cygnus-easy,8964976
hilla-hard,11075901
pinkbean-chaos,12604007
cygnus-normal,14234723
zakum-chaos,15936283
vonbon-chaos,15940112
pierre-chaos,15940294
bloodyqueen-chaos,15941754
magnus-hard,18710487
vellum-chaos,20668179
papulatus-chaos,26474370
seuu-normal,32625819
damien-normal,33927119
guardianangelslime-normal,34952523
lucid-easy,35757545
lucid-normal,41414096
will-normal,47443274
dusk-normal,50615480
dunkel-normal,53905509
damien-hard,72220716
seuu-hard,76116621
lucid-hard,82231015
will-hard,90670661
guardianangelslime-chaos,92966195
dusk-chaos,95166502
dunkel-hard,99659627
jinhilla-hard,113670173
seren-hard,155793793
blackmage-hard,500000000
