Boss,Value
zakum-easy,180489
zakum-normal,552747
papulatus-easy,617723
magnus-easy,651565
hilla-normal,721957
horntail-easy,795957
vonbon-normal,873567
pierre-normal,873567
bloodyqueen-normal,873567
vellum-normal,873567
horntail-normal,913726
vonleon-easy,954787
arkarium-easy,1039617
kawoong-normal,1128057
horntail-chaos,1220106
pinkbean-normal,1267484
vonleon-normal,1315765
vonleon-hard,2210990
arkarium-normal,2274613
magnus-normal,2339139
papulatus-normal,2404565
cygnus-easy,8223438
hilla-hard,10209089
pinkbean-chaos,11627261
cygnus-normal,13159247
zakum-chaos,14629221
vonbon-chaos,14651341
pierre-chaos,14659396
bloodyqueen-chaos,14650333
magnus-hard,17210324
vellum-chaos,18962628
papulatus-chaos,26587376
seuu-normal,33152671
damien-normal,34522351
guardianangelslime-normal,38179403
lucid-easy,39058746
lucid-normal,45542092
will-normal,52242298
dusk-normal,55791451
dunkel-normal,59557830
damien-hard,82123825
seuu-hard,86512844
lucid-hard,93848382
will-hard,103543030
guardianangelslime-chaos,106875275
dusk-chaos,109404780
dunkel-hard,114658258
jinhilla-hard,130531775
seren-hard,179676680
blackmage-hard,1000000000
