Boss,Value
zakum-easy,183731
zakum-normal,562677
papulatus-easy,628820
magnus-easy,663270
hilla-normal,734926
horntail-easy,810256
vonbon-normal,889260
pierre-normal,889260
bloodyqueen-normal,889260
vellum-normal,889260
horntail-normal,930140
vonleon-easy,971939
arkarium-easy,1058293
kawoong-normal,1148321
horntail-chaos,1242024
pinkbean-normal,1290253
vonleon-normal,1339401
vonleon-hard,2250708
arkarium-normal,2315474
magnus-normal,2381159
papulatus-normal,2447761
cygnus-easy,8379661
hilla-hard,10382856
pinkbean-chaos,11823201
cygnus-normal,13375374
zakum-chaos,14890388
vonbon-chaos,14909145
pierre-chaos,14915975
bloodyqueen-chaos,14908291
magnus-hard,17510550
vellum-chaos,19303272
papulatus-chaos,26566248
seuu-normal,33054130
damien-normal,34410286
guardianangelslime-normal,37527829
lucid-easy,38392165
lucid-normal,44704803
will-normal,51268058
dusk-normal,54740010
dunkel-normal,58407916
damien-hard,80111246
seuu-hard,84400730
lucid-hard,91481668
will-hard,100919599
guardianangelslime-chaos,104028362
dusk-chaos,106490486
dunkel-hard,111586849
jinhilla-hard,127082964
seren-hard,174778540
blackmage-hard,1000000000
