Boss,Value
zakum-easy,193462
zakum-normal,592478
papulatus-easy,662124
magnus-easy,698398
hilla-normal,773849
horntail-easy,853168
vonbon-normal,936357
pierre-normal,936357
bloodyqueen-normal,936357
vellum-normal,936357
horntail-normal,979403
vonleon-easy,1023415
arkarium-easy,1114342
kawoong-normal,1209139
horntail-chaos,1307804
pinkbean-normal,1358588
vonleon-normal,1410339
vonleon-hard,2369911
arkarium-normal,2438107
magnus-normal,2507270
papulatus-normal,2577400
cygnus-easy,8818157
hilla-hard,10902416
pinkbean-chaos,12408648
cygnus-normal,14019980
zakum-chaos,15673867
vonbon-chaos,15681759
pierre-chaos,15684631
bloodyqueen-chaos,15681400
magnus-hard,18409758
vellum-chaos,20325619
papulatus-chaos,26498265
seuu-normal,32737083
damien-normal,34052168
guardianangelslime-normal,35589379
lucid-easy,36409069
lucid-normal,42225293
will-normal,48385547
dusk-normal,51631134
dunkel-normal,55013042
damien-hard,74159023
seuu-hard,78152070
lucid-hard,84499544
will-hard,93183291
guardianangelslime-chaos,95669937
dusk-chaos,97934235
dunkel-hard,102573793
jinhilla-hard,116950083
seren-hard,160427287
blackmage-hard,500000000
