Boss,Value
zakum-easy,190213
zakum-normal,582529
papulatus-easy,651005
magnus-easy,686670
hilla-normal,760854
horntail-easy,838841
vonbon-normal,920633
pierre-normal,920633
bloodyqueen-normal,920633
vellum-normal,920633
horntail-normal,962956
vonleon-easy,1006229
arkarium-easy,1095629
kawoong-normal,1188834
horntail-chaos,1285842
pinkbean-normal,1335773
vonleon-normal,1386655
vonleon-hard,2330113
arkarium-normal,2397164
magnus-normal,2465166
papulatus-normal,2534118
cygnus-easy,8671814
hilla-hard,10729264
pinkbean-chaos,12213603
cygnus-normal,13805411
zakum-chaos,15412344
vonbon-chaos,15423987
pierre-chaos,15428225
bloodyqueen-chaos,15423457
magnus-hard,18109836
vellum-chaos,19984292
papulatus-chaos,26521602
seuu-normal,32845862
damien-normal,34174699
guardianangelslime-normal,36231612
lucid-easy,37066094
lucid-normal,43044991
will-normal,49338069
dusk-normal,52658135
dunkel-normal,56133705
damien-hard,76123401
seuu-hard,80214601
lucid-hard,86801086
will-hard,95732942
guardianangelslime-chaos,98418833
dusk-chaos,100748192
dunkel-hard,105537278
jinhilla-hard,120283708
seren-hard,165142447
blackmage-hard,1000000000
