Boss,Value
zakum-easy,186971
zakum-normal,572600
papulatus-easy,639909
magnus-easy,674966
hilla-normal,747886
horntail-easy,824554
vonbon-normal,904942
pierre-normal,904942
bloodyqueen-normal,904942
vellum-normal,904942
horntail-normal,946543
vonleon-easy,989079
arkarium-easy,1076955
kawoong-normal,1168574
horntail-chaos,1263926
pinkbean-normal,1313006
vonleon-normal,1363021
vonleon-hard,2290398
arkarium-normal,2356306
magnus-normal,2423149
papulatus-normal,2490926
cygnus-easy,8525720
hilla-hard,10556166
pinkbean-chaos,12018555
cygnus-normal,13590657
zakum-chaos,15151312
vonbon-chaos,15166577
pierre-chaos,15172134
bloodyqueen-chaos,15165882
magnus-hard,17810250
vellum-chaos,19643675
papulatus-chaos,26544293
seuu-normal,32951702
damien-normal,34294236
guardianangelslime-normal,36878151
lucid-easy,37727524
lucid-normal,43871949
will-normal,50299425
dusk-normal,53694979
dunkel-normal,57265913
damien-hard,78109210
seuu-hard,82299318
lucid-hard,89130421
will-hard,98313870
guardianangelslime-chaos,101207148
dusk-chaos,103602500
dunkel-hard,108543954
jinhilla-hard,123664001
seren-hard,169929802
blackmage-hard,1000000000
