Boss,Value
zakum-easy,173984
zakum-normal,532823
papulatus-easy,595458
magnus-easy,628079
hilla-normal,695934
horntail-easy,767267
vonbon-normal,842079
pierre-normal,842079
bloodyqueen-normal,842079
vellum-normal,842079
horntail-normal,880790
vonleon-easy,920371
arkarium-easy,1002143
kawoong-normal,1087396
horntail-chaos,1176127
pinkbean-normal,1221797
vonleon-normal,1268338
vonleon-hard,2131295
arkarium-normal,2192624
magnus-normal,2254824
papulatus-normal,2317892
cygnus-easy,7939852
hilla-hard,9859371
pinkbean-chaos,11232700
cygnus-normal,12723409
zakum-chaos,14105002
vonbon-chaos,14133454
pierre-chaos,14143818
bloodyqueen-chaos,14132157
magnus-hard,16606928
vellum-chaos,18279117
papulatus-chaos,26626804
seuu-normal,33336246
damien-normal,34732588
guardianangelslime-normal,39483071
lucid-easy,40392439
lucid-normal,47223857
will-normal,54200599
dusk-normal,57906097
dunkel-normal,61873463
damien-hard,86156246
seuu-hard,90743500
lucid-hard,98600471
will-hard,108812410
guardianangelslime-chaos,112614951
dusk-chaos,115280302
dunkel-hard,120853138
jinhilla-hard,137480698
seren-hard,189568961
blackmage-hard,1135054402
