Boss,Value
zakum-easy,200000
zakum-normal,612500
papulatus-easy,684500
magnus-easy,722000
hilla-normal,800000
horntail-easy,882000
vonbon-normal,968000
pierre-normal,968000
bloodyqueen-normal,968000
vellum-normal,968000
horntail-normal,1012500
vonleon-easy,1058000
arkarium-easy,1152000
kawoong-normal,1250000
horntail-chaos,1352000
pinkbean-normal,1404500
vonleon-normal,1458000
vonleon-hard,2450000
arkarium-normal,2520000
magnus-normal,2592000
papulatus-normal,2664500
cygnus-easy,9112500
hilla-hard,11250000
pinkbean-chaos,12800000
cygnus-normal,14450000
zakum-chaos,16200000
vonbon-chaos,16200000
pierre-chaos,16200000
bloodyqueen-chaos,16200000
magnus-hard,19012500
vellum-chaos,21012500
papulatus-chaos,26450000
seuu-normal,32512500
damien-normal,33800000
guardianangelslime-normal,34322000
lucid-easy,35112500
lucid-normal,40612000
will-normal,46512500
dusk-normal,49612500
dunkel-normal,52812500
damien-hard,70312500
seuu-hard,74112000
lucid-hard,80000000
will-hard,88200000
guardianangelslime-chaos,90312500
dusk-chaos,92450000
dunkel-hard,96800000
jinhilla-hard,110450000
seren-hard,151250000
blackmage-hard,500000000
