Boss,Value
zakum-easy,167434
zakum-normal,512765
papulatus-easy,573042
magnus-easy,604435
hilla-normal,669797
horntail-easy,738384
vonbon-normal,810380
pierre-normal,810380
bloodyqueen-normal,810380
vellum-normal,810380
horntail-normal,847634
vonleon-easy,885724
arkarium-easy,964418
kawoong-normal,1046462
horntail-chaos,1131852
pinkbean-normal,1175803
vonleon-normal,1220593
vonleon-hard,2051064
arkarium-normal,2110085
magnus-normal,2169943
papulatus-normal,2230637
cygnus-easy,7644037
hilla-hard,9505854
pinkbean-chaos,10833549
cygnus-normal,12281623
zakum-chaos,13577012
vonbon-chaos,13611267
pierre-chaos,13623749
bloodyqueen-chaos,13609705
magnus-hard,15998120
vellum-chaos,17591017
papulatus-chaos,26661949
seuu-normal,33499057
damien-normal,34921406
guardianangelslime-normal,40778939
lucid-easy,41718153
lucid-normal,48905070
will-normal,56160375
dusk-normal,60024029
dunkel-normal,64196960
damien-hard,90156779
seuu-hard,94938942
lucid-hard,103329903
will-hard,114059366
guardianangelslime-chaos,118361731
dusk-chaos,121163095
dunkel-hard,127059500
jinhilla-hard,144431996
seren-hard,199498621
blackmage-hard,1135054402
